geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
4047734,Ocean View,Ocean View,"Hall's Store,Halls Store,Ocean View,Oushan Vju,awshn fyw,osana bhyu,ou shen wei you,Оушан Вју,أوشن فيو,اوشن ویو، ڈیلاویئر,اوشن‌ویو، دلاور,ओसन भ्यू,欧申维尤",38.54511,-75.08907,P,PPL,US,,DE,5,,,2035,4.0,4,America/New_York,2017-03-09
4141226,Angola by the Bay,Angola by the Bay,"Angola,Angola by the Bay",38.67095,-75.17463,P,PPL,US,,DE,5,,,311,7.0,14,America/New_York,2026-08-23
4141246,Arden,Arden,"Arden,Arden Village,Grubbs,ardena,ardn,ardn  dlawr,ya dun,Арден,آردن، دلاور,آرڈین، ڈیلاویئر,أردن,आर्डेन,雅顿",39.80928,-75.48659,P,PPL,US,,DE,3,,,450,78.0,85,America/New_York,2017-03-09
4141248,Ardencroft,Ardencroft,"Arden,Arden Croft,Ardencroft,Ardencroft Village",39.80428,-75.49131,P,PPL,US,,DE,3,,,231,87.0,87,America/New_York,2011-05-14
4141249,Ardentown,Ardentown,"Arden,Ardentown,Ardentown Village",39.80845,-75.48298,P,PPL,US,,DE,3,,,272,72.0,80,America/New_York,2017-03-09
4141363,Bear,Bear,"Bear,Bear Station",39.62928,-75.65826,P,PPL,US,,DE,3,,,19371,21.0,19,America/New_York,2011-05-14
4141402,Bellefonte,Bellefonte,,39.766,-75.502,P,PPL,US,,DE,3,7161512.0,,1193,57.0,41,America/New_York,2024-02-12
4141435,Bethany Beach,Bethany Beach,"Betani Bich,bei se ni tan,bethyani bica,bytany bytsh,sahl btany  dlawr,Бетани Бич,بيتاني بيتش,بیتھانی بیچ، ڈیلاویئر,ساحل بتانی، دلاور,बेथ्यानी बीच,貝瑟尼灘",38.53956,-75.05518,P,PPL,US,,DE,5,,,1170,2.0,5,America/New_York,2026-08-31
4141443,Bethel,Bethel,,39.23428,-75.58159,P,PPLL,US,,DE,1,,,192,11.0,12,America/New_York,2022-09-16
4141444,Bethel,Bethel,,38.57067,-75.61937,P,PPL,US,,DE,5,,,187,7.0,10,America/New_York,2017-03-09
4141541,Blades,Blades,,38.63567,-75.60993,P,PPL,US,,DE,5,,,1354,4.0,5,America/New_York,2017-03-09
4141582,Bowers Beach,Bowers Beach,"Bowers,Bowers Beach,Reeds Landing",39.05983,-75.40131,P,PPL,US,,DE,1,,,185,1.0,4,America/New_York,2012-05-28
4141632,Bridgeville,Bridgeville,"Bridge Branch,Bridge Town,Bridgebranch,Bridgeville,Bridzvil,brijabhila,brydjfyl,bu li qi wei er,Бриџвил,برج ویل، ڈیلاویئر,بريدجفيل,بریج‌ویل، دلاور,ब्रिजभिल,布里奇维尔",38.74261,-75.60437,P,PPL,US,,DE,5,,,2256,13.0,12,America/New_York,2017-03-09
4141674,Brookside,Brookside,"Brookside,Brookside Park,Bruksajd,brukasa'ida,brwksayd,brwksayd  dlawyr,bu lu ke sai de,burukkusaido,Бруксайд,بروكسايد,بروکساید,بروکساید، دلاویر,ब्रूकसाइड,ブルックサイド,布魯克賽德",39.66706,-75.72688,P,PPL,US,,DE,3,,,14353,23.0,25,America/New_York,2026-08-30
4141748,Camden,Camden,"Camden,Kamden,Mifflins Cross Roads,Piccadily,ka mu deng,kamdn,kmdn  dlawr,kyamdena,Камден,كامدن,کمدن، دلاور,کیمڈن، ڈیلاویئر,क्याम्डेन,卡姆登",39.11345,-75.54187,P,PPL,US,,DE,1,,,3505,12.0,15,America/New_York,2026-08-30
